                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.1348,                  1.364,                 1.3175,                0.64775,                0.51903,                0.56559,                0.40617,                 1.0455,                 1.1093,                 1.2355,              0.0062152,              0.0062152,              0.0062152
                    117,                 1.1344,                 1.3627,                 1.3178,                0.65228,                  0.526,                0.56763,                0.40759,                 1.0434,                  1.106,                 1.2342,               0.006182,               0.006182,               0.006182
                    118,                 1.1341,                 1.3652,                 1.3183,                0.66124,                0.51665,                0.56695,                0.40712,                 1.0409,                 1.1069,                 1.2327,              0.0061488,              0.0061488,              0.0061488
                    119,                 1.1348,                 1.3646,                 1.3161,                0.65883,                0.52076,                0.56802,                0.40767,                 1.0428,                 1.1052,                 1.2331,              0.0061156,              0.0061156,              0.0061156
                    120,                 1.1332,                 1.3599,                 1.3171,                0.65456,                 0.5219,                0.56788,                0.40817,                 1.0414,                  1.105,                 1.2319,              0.0060824,              0.0060824,              0.0060824
                    121,                 1.1315,                 1.3643,                 1.3158,                0.65564,                0.52681,                 0.5703,                0.40915,                 1.0427,                 1.1026,                 1.2316,              0.0060492,              0.0060492,              0.0060492
                    122,                 1.1322,                  1.362,                 1.3138,                0.66014,                0.51988,                0.56784,                0.40832,                 1.0423,                 1.1023,                 1.2319,               0.006016,               0.006016,               0.006016
                    123,                 1.1316,                 1.3571,                 1.3162,                 0.6653,                0.51894,                0.56953,                0.40941,                 1.0406,                 1.1016,                 1.2301,              0.0059828,              0.0059828,              0.0059828
                    124,                 1.1334,                 1.3547,                 1.3132,                0.65544,                0.52104,                0.56822,                0.40862,                 1.0418,                 1.0993,                 1.2314,              0.0059496,              0.0059496,              0.0059496
                    125,                 1.1298,                 1.3521,                 1.3138,                0.65662,                0.52558,                0.57095,                0.40998,                 1.0411,                 1.0983,                 1.2311,              0.0059164,              0.0059164,              0.0059164
                    126,                 1.1301,                 1.3531,                 1.3114,                0.65258,                0.52679,                0.57105,                0.41023,                 1.0405,                 1.0981,                 1.2294,              0.0058832,              0.0058832,              0.0058832
                    127,                 1.1289,                 1.3523,                 1.3112,                0.65764,                0.52057,                0.57044,                0.40982,                 1.0402,                 1.0983,                 1.2291,                0.00585,                0.00585,                0.00585
                    128,                 1.1316,                 1.3541,                  1.312,                0.66514,                0.51896,                0.57105,                0.41002,                 1.0399,                 1.0955,                 1.2304,              0.0058168,              0.0058168,              0.0058168
                    129,                 1.1314,                 1.3498,                 1.3119,                0.65512,                 0.5224,                0.57225,                0.41139,                  1.039,                 1.0933,                 1.2292,              0.0057836,              0.0057836,              0.0057836
                    130,                 1.1271,                 1.3471,                   1.31,                0.66314,                0.52343,                0.57253,                0.41179,                 1.0394,                 1.0953,                 1.2291,              0.0057504,              0.0057504,              0.0057504
                    131,                 1.1269,                 1.3531,                 1.3123,                0.64737,                0.53053,                0.57223,                0.41103,                 1.0391,                 1.0941,                  1.229,              0.0057172,              0.0057172,              0.0057172
                    132,                 1.1255,                 1.3399,                 1.3092,                 0.6696,                0.52059,                0.57324,                0.41166,                 1.0398,                 1.0952,                 1.2296,               0.005684,               0.005684,               0.005684
                    133,                 1.1235,                 1.3401,                   1.31,                0.66216,                0.52391,                0.57386,                0.41254,                 1.0386,                 1.0944,                 1.2285,              0.0056508,              0.0056508,              0.0056508
                    134,                 1.1223,                 1.3394,                 1.3086,                0.67041,                0.52022,                0.57405,                0.41268,                 1.0397,                 1.0918,                 1.2286,              0.0056176,              0.0056176,              0.0056176
                    135,                 1.1279,                 1.3456,                 1.3113,                0.67696,                0.52038,                0.57693,                0.41362,                 1.0374,                  1.093,                 1.2273,              0.0055844,              0.0055844,              0.0055844
                    136,                 1.1231,                 1.3452,                 1.3078,                0.66311,                0.52794,                0.57534,                0.41356,                 1.0383,                 1.0914,                 1.2272,              0.0055512,              0.0055512,              0.0055512
                    137,                 1.1282,                 1.3404,                 1.3086,                0.66835,                 0.5276,                0.57542,                0.41462,                 1.0374,                 1.0899,                 1.2269,               0.005518,               0.005518,               0.005518
                    138,                 1.1241,                 1.3386,                 1.3066,                0.67088,                0.52077,                 0.5744,                0.41402,                 1.0374,                  1.092,                 1.2262,              0.0054848,              0.0054848,              0.0054848
                    139,                   1.12,                 1.3338,                  1.309,                0.66187,                0.52658,                0.57452,                0.41314,                 1.0375,                 1.0899,                 1.2264,              0.0054516,              0.0054516,              0.0054516
                    140,                  1.121,                 1.3341,                 1.3066,                0.66295,                0.52871,                 0.5761,                 0.4149,                 1.0368,                 1.0889,                 1.2256,              0.0054184,              0.0054184,              0.0054184
